QUAD,PLOT,TAG,SPECIES,HEIGHT (cm),LEAVES,DAMAGE,COMMENTS,YEAR,MONTH,TYPE,STATUS,DIAM (mm),DIAM at 130(mm),Year first,SUBSTRATE
BC,3,12,PSYBRA,131.3,,4,,2016,June,Sapling,A,10.4,4.2,,L
BC,3,13,PSYBRA,131.4,,20,,2016,June,Sapling,A,13.1,4.6,,L
BC,3,14,PSYBRA,149.5,,7,,2016,June,Sapling,A,19.2,6.1,,L
BC,3,15,PIPGLA,6,,3,Main stem broke last year,2016,June,Sapling,A,2.8,,,BS
BC,3,16,OCOLEU,33,,6,,2016,June,Sapling,A,6.2,,,L
BC,3,17,PSYBRA,164.5,,8,,2016,June,Sapling,A,13.7,9.4,,L
BC,3,18,MICPRA,182.9,,20,,2016,June,Sapling,A,14.6,6.8,,L
BC,3,19,OCOLEU,29.5,,15,,2016,June,Sapling,A,5.7,,,L
DE,3,20,PSYBRA,133,,20,,2016,June,Sapling,A,15.8,3.7,,L
DE,3,21,PSYBRA,123,,1,,2016,June,Sapling,A,11,,,L
DE,3,24,PSYBRA,41.8,,5,,2016,June,Sapling,A,8.4,,,L
DE,3,25,PSYBRA,95,,15,,2016,June,Sapling,A,9.5,,,L
DE,3,26,PSYBRA,163,,10,,2016,June,Sapling,A,16.6,7,,L
DE,3,27,PSYBRA,59,,10,,2016,June,Sapling,A,8.9,,,L
DE,3,28,PSYBRA,105,,15,,2016,June,Sapling,A,11,,,L
EF,3,29,PSYBRA,104,,5,,2016,June,Sapling,A,10.5,,,L
EF,3,30,PSYBRA,118.5,,3,,2016,June,Sapling,A,12.2,,,L
EF,3,31,PSYBRA,36,,2,Looks like main stem broken & resprouting,2016,June,Sapling,A,5.8,,,BS
EF,3,35,TRIPAL,59,,25,,2016,June,Sapling,A,9.9,,,L
EF,3,36,PSYBRA,72,,3,,2016,June,Sapling,A,9.2,,,L
EF,3,37,MICPRA,75,,3,"Main prone stem broke while measuring, was dry with no leaves. Measured tallest sprout",2016,June,Sapling,A,11.4,,,L
EF,3,38,PSYBRA,100,,10,,2016,June,Sapling,A,9.4,,,L
EF,3,39,PSYBRA,35,,3,Main stem broken,2016,June,Sapling,A,11.1,,,L
EF,3,40,PSYBRA,110,,10,,2016,June,Sapling,A,12.1,,,L
AB,3,41,PSYBRA,96.3,,2,,2016,June,Sapling,A,11.3,,,L
AB,4,1,PSYBRA,86.7,,3,3 stems,2016,June,Sapling,A,8.8,,,L
AB,4,2,PSYBRA,78,,1,2 stems,2016,June,Sapling,A,8.5,,,L
AB,4,3,ROUSUR,111,,10,Prone stem with many sprouts; measured vertical stem,2016,June,Sapling,A,9,,,LW
AB,4,4,ROUSUR,125,,5,,2016,June,Sapling,A,15.2,,,L
AB,4,5,HOMRAC,46.3,,20,,2016,June,Sapling,A,5.7,,,L
AB,4,7,PSYBRA,123,,20,,2016,June,Sapling,A,2.1,,,L
AB,4,8,PIPGLA,39,,3,,2016,June,Sapling,A,7.2,,,L
BC,4,12,PSYBRA,72.6,,7,2 sprouts,2016,June,Sapling,A,8.1,,,L
BC,4,13,PSYBRA,66.2,,5,,2016,June,Sapling,A,7.9,,,L
BC,4,14,PSYBRA,,,,,2016,June,Sapling,TCODS,,,,
BC,4,15,PSYBRA,,,,,2016,June,Sapling,TCOG,,,,
BC,4,16,PSYBRA,100.5,,3,,2016,June,Sapling,A,11.9,,,LW
BC,4,17,PSYBRA,124,,4,,2016,June,Sapling,A,11.6,,,LW
BC,4,18,PSYBRA,74,,8,,2016,June,Sapling,A,7.5,,,L
BC,4,19,PSYBRA,37.9,,7,,2016,June,Sapling,A,5.5,,,BS
BC,4,20,PIPGLA,,,,,2016,June,Sapling,TCOG,,,,
DE,4,21,PSYBRA,52.5,,2,Called dead in 11/15; base split; resprouting,2016,June,Sapling,A,16.4,,,L
DE,4,22,PREMON,33.9,,40,,2016,June,Sapling,A,7.1,,,L
DE,4,25,PIPGLA,,,,,2016,June,Sapling,TCODS,,,,
DE,4,26,MICPRA,71.8,,3,,2016,June,Sapling,A,8.1,,,L
EF,4,27,PSYBRA,41.4,,4,,2016,June,Sapling,A,6.5,,,L
EF,4,28,PSYBRA,65,,3,,2016,June,Sapling,A,9.1,,,L
EF,4,29,PSYBRA,94.2,,5,"2 sprouts, same root",2016,June,Sapling,A,10.2,,,R
EF,4,31,PSYBRA,95.8,,8,Sprouting from same root as 29,2016,June,Sapling,A,9.5,,,R
EF,4,32,PSYBRA,43.8,,4,,2016,June,Sapling,A,7.1,,,L
AB,5,1,PSYBRA,117,,3,Part of seedling 216,2016,June,Sapling,A,10.2,,,LW
AB,5,2,PSYBRA,119.5,,10,Part of seedling 216,2016,June,Sapling,A,9,,,LW
AB,5,3,PSYBRA,84.5,,4,Part of seedling 216,2016,June,Sapling,A,11.9,,,LW
AB,5,4,PIPGLA,27.1,,15,Main 2 stems dead; resprouting,2016,June,Sapling,A,5.7,,,L
AB,5,5,PIPGLA,86.2,,7,3 stems,2016,June,Sapling,A,9.6,,,L
AB,5,6,PSYBRA,63.1,,7,"2 big stems, 3 small stems. Measured tallest stem.",2016,June,Sapling,A,6.7,,,L
AB,5,8,SYZJAM,66.2,,50,,2016,June,Sapling,A,6.2,,,L
AB,5,10,PIPGLA,,,,,2016,June,Sapling,NF,,,,
BC,5,11,PIPGLA,99.4,,10,2 sprouts,2016,June,Sapling,A,9.5,,,L
BC,5,13,PSYBRA,,,,,2016,June,Sapling,TCOG,,,,
BC,5,15,PSYBRA,183.8,,40,,2016,June,Sapling,A,19.3,7.8,,L
BC,5,16,PREMON,,,,,2016,June,Sapling,NF,,,,
BC,5,17,PIPGLA,92.2,,2,2 stems; 1 is dead,2016,June,Sapling,A,12.6,,,L
BC,5,18,CALCAL,46.4,,1,,2016,June,Sapling,A,3.8,,,L
BC,5,19,PIPGLA,,,,,2016,June,Sapling,TCOG,,,,
BC,5,20,PIPGLA,31.1,,8,,2016,June,Sapling,A,6.7,,,L
DE,5,21,PIPGLA,40.5,,5,,2016,June,Sapling,A,7,,,L
DE,5,22,CASARB,>200,,10,Already a tree; too high to measure,2016,June,Sapling,A,30.3,21.8,,L
DE,5,23,MICPRA,128,,10,Base split ,2016,June,Sapling,A,16.2,,,L
DE,5,25,PSYBRA,48.5,,2,,2016,June,Sapling,A,4.8,,,BS
DE,5,26,MICPRA,99.8,,10,,2016,June,Sapling,A,13.7,,,L
DE,5,27,PIPGLA,51.5,,3,2 sprouts,2016,June,Sapling,A,7.1,,,BS
DE,5,29,PIPGLA,,,,,2016,June,Sapling,NF,,,,
DE,5,30,PSYBRA,42.5,,2,2 sprouts,2016,June,Sapling,A,5.6,,,L
DE,5,31,OCOLEU,57,,15,Looks diseased with fungus,2016,June,Sapling,A,5.2,,,L
DE,5,32,PIPGLA,50.3,,10,Main stem dead; reattached tag,2016,June,Sapling,A,6.4,,,DW
DE,5,33,PSYBRA,86,,3,,2016,June,Sapling,A,9.3,,,L
DE,5,34,PIPGLA,43.2,,8,Main stem dead. Measured second stem alive.,2016,June,Sapling,A,5.2,,,DW
EF,5,35,CASSYL,191.2,,15,,2016,June,Sapling,A,21.3,8.9,,L
EF,5,36,PIPGLA,64.2,,5,2 stems; 1 is dead,2016,June,Sapling,A,8.8,,,L
EF,5,37,PSYBRA,40.6,,0,,2016,June,Sapling,A,7.6,,,BS
EF,5,38,PIPGLA,74.3,,3,,2016,June,Sapling,A,9.2,,,L
EF,5,39,MICPRA,71,,0,No leaves - dying/dead?,2016,June,Sapling,A,5.7,,,L
EF,5,40,PIPGLA,,,,,2016,June,Sapling,TCOG,,,,
EF,5,41,PSYBRA,162.4,,8,Vine is holding it down,2016,June,Sapling,A,15,5.6,,L
EF,5,42,PSYBRA,66.4,,4,,2016,June,Sapling,A,6.8,,,BS
EF,5,44,PIPGLA,29.7,,3,,2016,June,Sapling,A,5,,,L
EF,5,45,PSYBRA,62.6,,8,Leaning into AB. Base is at EF but plant extends towards AB.,2016,June,Sapling,A,5.6,,,L
AB,6,1,PSYBRA,218,,5,,2016,June,Sapling,A,34.9,8.9,,L
AB,6,2,PSYBRA,73.5,,0,,2016,June,Sapling,A,8,,,L
AB,6,3,CALCAL,30.2,,2,,2016,June,Sapling,A,3.7,,,L
AB,6,4,PIPGLA,15.6,,4,2 stems,2016,June,Sapling,A,5.9,,,BS
BC,6,6,PIPGLA,,,,,2016,June,Sapling,NF,,,,
BC,6,8,PIPGLA,26.3,,4,,2016,June,Sapling,A,7.2,,,BS
DE,6,9,PREMON,145,,3,,2016,June,Sapling,A,53,,,L
DE,6,10,CASARB,18.4,,1,Main stem broke off,2016,June,Sapling,A,8.8,,,L
,,,,,,,,,,,,,,,
